participant_id,condition,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,conf_radio.response,conf_radio.rt,is_repeat,vigilance_pressed,vigilance_correct
sub113_AB,AB,21.0,frames/Vid21_BB_T.png,frames/Vid21_L.png,r,1.0,5.684372199990321,3.0,11.597048300027382,,,
sub113_AB,AB,11.0,frames/Vid11_EM_T.png,frames/Vid11_L.png,r,1.0,4.2697797999717295,4.0,1.231561399996281,,,
sub113_AB,AB,13.0,frames/Vid13_BB_T.png,frames/Vid13_L.png,r,0.0,3.3176973999943584,4.0,1.3486960000009276,,,
sub113_AB,AB,14.0,frames/Vid14_BB_T.png,frames/Vid14_L.png,r,1.0,3.155724799958989,2.0,2.382460599998012,,,
sub113_AB,AB,27.0,frames/Vid27_BB_T.png,frames/Vid27_L.png,r,1.0,4.524478600011207,3.0,2.583665100042708,,,
sub113_AB,AB,25.0,frames/Vid25_BB_T.png,frames/Vid25_L.png,r,1.0,4.096682799980044,3.0,1.5471049000043422,,,
sub113_AB,AB,22.0,frames/Vid22_EM_T.png,frames/Vid22_L.png,l,1.0,7.540312299970537,4.0,1.6461533000110649,,,
sub113_AB,AB,40.0,frames/Vid40_EM_T.png,frames/Vid40_L.png,r,1.0,2.744989099970553,4.0,1.2801445000222884,,,
sub113_AB,AB,29.0,frames/Vid29_BB_T.png,frames/Vid29_L.png,r,1.0,6.223994700005278,3.0,0.8140234999591485,,,
sub113_AB,AB,15.0,frames/Vid15_BB_T.png,frames/Vid15_L.png,r,1.0,3.361461600055918,4.0,1.1649842000333592,,,
sub113_AB,AB,34.0,frames/Vid34_BB_T.png,frames/Vid34_L.png,r,0.0,5.208023099985439,2.0,1.464233900012914,,,
sub113_AB,AB,26.0,frames/Vid26_EM_T.png,frames/Vid26_L.png,l,1.0,3.605579300026875,5.0,1.4644656999735162,,,
sub113_AB,AB,12.0,frames/Vid12_EM_T.png,frames/Vid12_L.png,r,1.0,4.646367900015321,4.0,1.4449583999812603,,,
sub113_AB,AB,39.0,frames/Vid39_BB_T.png,frames/Vid39_L.png,l,1.0,5.884350499953143,4.0,0.7980246000224724,,,
sub113_AB,AB,7.0,frames/Vid7_EM_T.png,frames/Vid7_L.png,r,0.0,4.002642799983732,3.0,1.59902870003134,,,
sub113_AB,AB,36.0,frames/Vid36_BB_T.png,frames/Vid36_L.png,l,1.0,2.797583700041286,2.0,1.8493485000217331,,,
sub113_AB,AB,31.0,frames/Vid31_EM_T.png,frames/Vid31_L.png,l,1.0,2.602454499981832,4.0,1.0161432000459172,,,
sub113_AB,AB,5.0,frames/Vid5_EM_T.png,frames/Vid5_L.png,l,1.0,2.0164730999968015,5.0,0.8164807999855839,,,
sub113_AB,AB,30.0,frames/Vid30_EM_T.png,frames/Vid30_L.png,r,1.0,5.186620099993888,4.0,1.2640741000068374,,,
sub113_AB,AB,3.0,frames/Vid3_BB_T.png,frames/Vid3_L.png,r,1.0,2.3200709000229836,5.0,0.8813002000097185,,,
sub113_AB,AB,4.0,frames/Vid4_EM_T.png,frames/Vid4_L.png,r,1.0,8.641461000021081,4.0,0.8811687999987043,,,
sub113_AB,AB,18.0,frames/Vid18_EM_T.png,frames/Vid18_L.png,l,1.0,3.578837500012014,4.0,0.9136900000157766,,,
sub113_AB,AB,38.0,frames/Vid38_EM_T.png,frames/Vid38_L.png,r,1.0,4.143667900003493,3.0,0.8309802999719977,,,
sub113_AB,AB,37.0,frames/Vid37_BB_T.png,frames/Vid37_L.png,l,1.0,2.142318300029729,4.0,0.8816516000078991,,,
sub113_AB,AB,17.0,frames/Vid17_BB_T.png,frames/Vid17_L.png,r,0.0,5.24237200000789,2.0,1.347881400026381,,,
sub113_AB,AB,9.0,frames/Vid9_EM_T.png,frames/Vid9_L.png,r,1.0,8.582453400013037,3.0,1.1982636000029745,,,
sub113_AB,AB,16.0,frames/Vid16_EM_T.png,frames/Vid16_L.png,l,1.0,3.33929299999727,4.0,0.980427700036671,,,
sub113_AB,AB,8.0,frames/Vid8_BB_T.png,frames/Vid8_L.png,r,1.0,4.754729600041173,4.0,1.1164589999825694,,,
sub113_AB,AB,32.0,frames/Vid32_EM_T.png,frames/Vid32_L.png,l,1.0,2.3496317000244744,4.0,1.082069900003262,,,
sub113_AB,AB,35.0,frames/Vid35_EM_T.png,frames/Vid35_L.png,l,1.0,3.1233765999786556,4.0,0.9144035000354052,,,
sub113_AB,AB,28.0,frames/Vid28_EM_T.png,frames/Vid28_L.png,r,1.0,2.6402670999523252,4.0,0.8496126999962144,,,
sub113_AB,AB,19.0,frames/Vid19_BB_T.png,frames/Vid19_L.png,l,0.0,4.292005600000266,4.0,0.6980680000269786,,,
sub113_AB,AB,33.0,frames/Vid33_BB_T.png,frames/Vid33_L.png,l,1.0,4.032597900019027,4.0,0.7482279000105336,,,
sub113_AB,AB,20.0,frames/Vid20_EM_T.png,frames/Vid20_L.png,r,1.0,2.2481325999833643,4.0,0.4476341999834403,,,
sub113_AB,AB,10.0,frames/Vid10_BB_T.png,frames/Vid10_L.png,l,1.0,6.011003400024492,2.0,1.2975646000122651,,,
sub113_AB,AB,2.0,frames/Vid2_BB_T.png,frames/Vid2_L.png,r,1.0,3.792649600014556,4.0,1.0978249000036158,,,
sub113_AB,AB,6.0,frames/Vid6_BB_T.png,frames/Vid6_L.png,l,1.0,3.1140874999691732,4.0,0.7466157000162639,,,
sub113_AB,AB,1.0,frames/Vid1_EM_T.png,frames/Vid1_L.png,l,1.0,3.75521790003404,2.0,2.030679500021506,,,
sub113_AB,AB,24.0,frames/Vid24_BB_T.png,frames/Vid24_L.png,r,1.0,2.1382983999792486,3.0,0.8474732000031509,,,
sub113_AB,AB,23.0,frames/Vid23_EM_T.png,frames/Vid23_L.png,r,1.0,3.1635089000337757,1.0,1.063400899991393,,,
